segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
80,seg_0080.mp4,116505,116784,3883.5,3892.8,9.3,1.97,0.132
81,seg_0081.mp4,117243,117939,3908.1,3931.3,23.2,2.05,0.226
82,seg_0082.mp4,120426,121490,4014.2,4049.667,35.467,3.01,0.175
83,seg_0083.mp4,123386,123888,4112.867,4129.6,16.733,2.03,0.149
84,seg_0084.mp4,124470,125138,4149.0,4171.267,22.267,2.06,0.201
85,seg_0085.mp4,125834,126111,4194.467,4203.7,9.233,2.11,0.159
86,seg_0086.mp4,126620,127917,4220.667,4263.9,43.233,2.07,0.262
87,seg_0087.mp4,129480,129738,4316.0,4324.6,8.6,2.11,0.244
88,seg_0088.mp4,130208,130889,4340.267,4362.967,22.7,2.1,0.191
89,seg_0089.mp4,131507,132063,4383.567,4402.1,18.533,2.11,0.261
90,seg_0090.mp4,133114,133462,4437.133,4448.733,11.6,2.05,0.106
91,seg_0091.mp4,133589,134138,4452.967,4471.267,18.3,2.04,0.129
92,seg_0092.mp4,135696,136293,4523.2,4543.1,19.9,2.16,0.22
93,seg_0093.mp4,136932,137296,4564.4,4576.533,12.133,2.17,0.159
94,seg_0094.mp4,137850,138040,4595.0,4601.333,6.333,2.13,0.164
95,seg_0095.mp4,138281,139166,4609.367,4638.867,29.5,2.16,0.219
96,seg_0096.mp4,140789,140922,4692.967,4697.4,4.433,2.32,0.134
