segment_id,file,start_frame,end_frame,start_s,end_s,duration_s,view_dist,motion
72,seg_0072.mp4,109892,110662,3663.067,3688.733,25.667,1.7,0.302
73,seg_0073.mp4,111444,112058,3714.8,3735.267,20.467,1.79,0.254
74,seg_0074.mp4,112816,112984,3760.533,3766.133,5.6,1.74,0.226
75,seg_0075.mp4,113494,113728,3783.133,3790.933,7.8,1.93,0.296
76,seg_0076.mp4,114934,115184,3831.133,3839.467,8.333,1.91,0.239
77,seg_0077.mp4,115632,115772,3854.4,3859.067,4.667,1.96,0.201
78,seg_0078.mp4,116224,116477,3874.133,3882.567,8.433,2.04,0.304
79,seg_0079.mp4,117149,117324,3904.967,3910.8,5.833,1.92,0.204
80,seg_0080.mp4,117666,118159,3922.2,3938.633,16.433,1.92,0.299
81,seg_0081.mp4,119636,119956,3987.867,3998.533,10.667,1.96,0.318
82,seg_0082.mp4,121628,123050,4054.267,4101.667,47.4,2.0,0.305
83,seg_0083.mp4,124172,124312,4139.067,4143.733,4.667,2.18,0.245
84,seg_0084.mp4,124783,125134,4159.433,4171.133,11.7,2.03,0.277
85,seg_0085.mp4,126014,126782,4200.467,4226.067,25.6,2.21,0.304
86,seg_0086.mp4,128401,128993,4280.033,4299.767,19.733,2.29,0.304
87,seg_0087.mp4,131916,132380,4397.2,4412.667,15.467,3.48,0.246
88,seg_0088.mp4,133066,133514,4435.533,4450.467,14.933,2.74,0.271
89,seg_0089.mp4,134069,134659,4468.967,4488.633,19.667,2.81,0.29
90,seg_0090.mp4,135169,135430,4505.633,4514.333,8.7,2.8,0.264
91,seg_0091.mp4,136831,137419,4561.033,4580.633,19.6,2.81,0.307
92,seg_0092.mp4,137873,138364,4595.767,4612.133,16.367,2.94,0.329
93,seg_0093.mp4,139628,139993,4654.267,4666.433,12.167,2.86,0.339
94,seg_0094.mp4,140542,140832,4684.733,4694.4,9.667,3.06,0.302
95,seg_0095.mp4,141450,141574,4715.0,4719.133,4.133,2.99,0.17
96,seg_0096.mp4,141848,142000,4728.267,4733.333,5.067,2.98,0.157
97,seg_0097.mp4,142404,142714,4746.8,4757.133,10.333,2.97,0.249
98,seg_0098.mp4,143304,143958,4776.8,4798.6,21.8,2.93,0.278
99,seg_0099.mp4,145202,145370,4840.067,4845.667,5.6,3.2,0.201
100,seg_0100.mp4,145823,146509,4860.767,4883.633,22.867,3.02,0.296
101,seg_0101.mp4,147409,147666,4913.633,4922.2,8.567,2.97,0.119
102,seg_0102.mp4,148036,148661,4934.533,4955.367,20.833,3.15,0.315
103,seg_0103.mp4,149892,150751,4996.4,5025.033,28.633,3.14,0.3
104,seg_0104.mp4,151700,152521,5056.667,5084.033,27.367,3.2,0.275
105,seg_0105.mp4,154337,154642,5144.567,5154.733,10.167,3.29,0.291
